exp_ID,date,time,temp,male_ID,male_age,female_ID,female_age,court,cop,sp,m_mass,f_mass
LY,4-May,11:09,30,22302,NA,22003,15,1,0,form,0.01073,0.02167
LY,22-Apr,14:08,31.8,221229,NA,22006,1,0,0,form,0.00953,0.01157
SW,22-Jun,9:27,32.6,221274,field,22007,32,1,1,form,0.01043,0.02164
LY,26-Apr,11:19,29.3,221203,NA,22008,7,1,0,form,0.00945,0.01286
LY,29-May,10:38,33,221291,23,22010,30,1,1,form,0.01295,0.02801
LY,17-May,10:22,31.5,22521,NA,22011,22,1,1,form,0.00931,0.01873
LY,11-May,16:22,32,221214,8,22021,14,1,1,form,0.00924,0.01798
LY,12-Jun,15:41,31.2,22391,24,22022,29,1,1,form,0.00919,0.02148
LY,5-May,10:44,30.5,22385,17,22024,4,1,0,form,0.012,0.02002
LY,4-May,10:30,33,22304,NA,22028,8,1,0,form,0.01192,0.02032
LY,11-Jun,12:10,32.2,22017,17,22029,26,1,1,form,0.00824,0.02139
LY,27-May,11:10,32,221237,NA,22032,28,1,0,form,0.00982,0.02015
LY,17-May,10:06,33,22324,NA,22035,9,1,0,form,0.00912,0.0128
LY,2-May,15:20,32.1,221242,NA,22036,13,1,0,form,0.0096,0.01978
LY,27-Apr,10:34,31,22338,NA,22038,1,1,0,form,0.01047,0.01484
LY,14-May,14:03,30,221268,NA,22042,9,1,0,form,0.01002,0.01327
LY,2-May,14:41,30.8,221232,NA,22043,4,0,0,form,0.00942,0.0126
LY,22-May,11:52,31,22354,19,22044,3,0,0,form,0.01108,0.01628
LY,9-May,16:47,31,22333,NA,22047,6,1,0,form,0.01049,0.01287
LY,9-May,17:27,32,221207,6,22052,17,1,1,form,0.0127,0.02044
LY,4-May,12:07,31,221293,NA,22056,10,1,0,form,0.011,0.01788
LY,25-Jun,14:07,31,22367,60,22059,29,1,0,form,0.01329,0.01478
LY,3-May,12:41,31,221280,4,22064,4,1,0,form,0.01089,0.01455
LY,6-May,15:53,31,221247,NA,22066,12,1,1,form,0.01033,0.02011
LY,10-May,14:21,31,221225,NA,22069,3,1,0,form,0.00978,0.01359
LY,26-May,11:15,32.6,221290,15,22070,8,0,0,form,0.01206,0.0152
LY,4-May,11:29,30.4,22301,NA,22071,7,1,0,form,0.0091,0.01939
LY,24-May,9:33,32.5,221295,NA,22072,23,1,0,form,0.01218,0.01644
LY,29-May,10:13,31.5,22512,26,22073,22,1,1,form,0.00916,0.02238
LY,4-May,10:50,30.2,22312,8,22076,15,1,0,form,0.00794,0.02449
LY,22-Apr,13:45,28.5,221223,NA,22077,2,1,0,form,0.01106,0.01434
LY,19-May,14:55,32,221278,20,22079,18,1,1,form,0.01079,0.01539
LY,7-Jun,14:25,31.5,22317,13,22083,29,0,0,form,0.0094,0.01795
LY,2-Jun,10:23,31.5,22389,14,22084,14,0,0,form,0.01744,0.01183
SW,22-Jun,9:43,33.2,221249,field,22087,25,1,1,form,0.01118,0.02277
LY,16-Jun,13:38,33,22337,field,22088,27,1,0,form,0.01155,0.02419
LY,8-Jun,12:33,32,221209,20,22092,23,1,1,form,0.01211,0.02301
LY,3-May,11:24,31.5,221284,NA,22093,13,1,0,form,0.01184,0.02569
LY,15-May,11:58,33.5,22308,9,22095,10,0,0,form,0.01224,0.01524
LY,8-Jul,15:20,31,22384,50,22096,24,1,1,form,0.00989,0.01633
LY,5-Jun,16:52,31,221217,47,22098,29,1,1,form,0.01215,0.02602
LY,17-May,9:46,31.5,221227,NA,22501,16,1,0,form,0.00985,0.01628
LY,4-May,10:10,29,22525,NA,22503,13,1,0,form,0.0102,0.0189
LY,8-Jul,15:35,31.4,22363,17,22504,-5,0,0,form,0.01181,0.01057
LY,19-Apr,15:30,28.5,221241,NA,22507,1,1,0,form,0.00978,0.01745
LY,16-Jun,13:22,31.5,221258,field,221001,11,1,0,form,0.01216,0.01283
LY,22-Apr,NA,29.2,221269,NA,221002,-5,0,0,form,0.00871,0.00913
LY,29-May,10:50,33.5,22349,10,221003,28,1,1,form,0.01061,0.03186
LY,1-Jun,9:32,32,22350,13,221004,28,1,1,form,0.01116,0.02153
LY,26-May,14:20,31.2,22383,37,221005,18,1,0,form,0.01035,0.01537
LY,9-May,17:04,31.5,22353,21,221007,7,1,0,form,0.01175,0.01672
LY,22-Apr,14:29,32.1,221228,NA,221008,-5,1,0,form,0.01002,0.01704
LY,22-Apr,15:11,28.2,221236,NA,221009,-5,1,0,form,0.01074,0.01192
LY,20-May,12:28,32.5,22328,NA,221010,25,1,1,form,0.01094,0.01748
LY,19-Apr,15:10,29.4,221298,NA,221011,-5,0,0,form,0.00998,0.01701
