ID,f_age,m_age,f_mass,m_mass,duration,cop,f_agg_dur,f_agg_count,f_agg_mean,f_agg_std,f_agg_por,intro_dur,intro_count,intro_mean,intro_std,intro_por,land,vib_dur,vib_count,vib_mean,vib_std,vib_por,cop_lat
f006_m1223,1,NA,0.01157,0.00953,265.77,0,0.999,1,0.999,0,0.004,0,0,0,0,0,1,0,0,0,0,0,
f008_m1203,7,NA,0.01286,0.00945,754.25,0,0,0,0,0,0,92.009,6,15.335,11.948,0.122,1,50.797,2,25.398,10.793,0.067,
f023_m513,19,17,0.02755,0.01153,902.4,0,0,0,0,0,0,72.763,2,36.381,50.785,0.081,1,0,0,0,0,0,
f024_m385,4,17,0.02002,0.012,653.15,0,0,0,0,0,0,115.362,5,23.072,37.53,0.177,1,0,0,0,0,0,
f028_m017,8,NA,0.02032,0.01192,808.31,0,0,0,0,0,0,59.256,3,19.752,21.668,0.073,1,0,0,0,0,0,
f03_m302,15,NA,0.02167,0.01073,628.63,0,0,0,0,0,0,102.622,7,14.66,15.863,0.163,1,0,0,0,0,0,
f032_m1237,28,NA,0.02015,0.00982,959.46,0,0,0,0,0,0,386.804,13,29.754,21.214,0.403,1,448.758,5,89.752,56.196,0.468,
f035_m324,9,NA,0.0128,0.00912,561.06,0,0,0,0,0,0,97.568,6,16.261,7.052,0.174,1,254.087,3,84.696,10.988,0.453,
f036_m1242,13,NA,0.01978,0.0096,996.49,0,0,0,0,0,0,51.226,6,8.538,6.712,0.051,1,149.928,3,49.976,40.598,0.15,
f038_m338,1,NA,0.01484,0.01047,770.77,0,0,0,0,0,0,255.717,3,85.239,35.89,0.332,1,109.855,2,54.927,59.265,0.143,
f042_m1268,9,NA,0.01327,0.01002,951.45,0,0,0,0,0,0,357.64,4,89.41,104.435,0.376,1,445.753,2,222.876,131.807,0.468,
f043_m1232,4,NA,0.0126,0.00942,439.44,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,
